,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
92,"6,Dwight Howard,13:40,,,,,,,,,,,,,,,,,,,,,.868,1.000,.000,1.000,32.3,31.0,31.7,0.0,0.0,8.1,0.0,17.2,183,115,6.6"
93,"7,Dakota Mathias,10:46,,,,,,,,,,,,,,,,,,,,,.307,.375,.750,.500,0.0,9.8,5.0,0.0,0.0,0.0,0.0,18.5,68,126,-17.5"
94,"8,Paul Reed,265,,,,,,,,,,,,,,,,,,,,,.606,.583,.539,.245,33.3,72.0,53.1,64.0,8.9,12.5,13.1,100.0,121.6,119.0,"
95,"9,Furkan Korkmaz,Terrance Ferguson,,,,,,,,,,,,,,,,,,,,,Tony Bradley,Team Totals,,,,,,,,,,,,,"
96,"0,Tobias Harris,24:46,8,13,.615,1,4,.250,5,8,.625,1,5,6,5,0,2,0,1,22,+10,8/12/2020,,,,,,,,,,,,,,,"
97,"1,Josh Richardson,24:11,3,8,.375,1,3,.333,3,3,1.000,1,4,5,0,2,1,4,3,10,+8,8/12/2020,,,,,,,,,,,,,,,"
98,"2,Shake Milton,22:11,2,9,.222,2,6,.333,2,2,1.000,1,3,4,5,0,0,1,3,8,-1,8/12/2020,,,,,,,,,,,,,,,"
99,"3,Al Horford,18:25,3,6,.500,2,5,.400,1,2,.500,1,3,4,5,0,1,1,2,9,+4,8/12/2020,,,,,,,,,,,,,,,"
100,"4,Joel Embiid,13:35,1,4,.250,0,0,,3,4,.750,1,8,9,0,1,1,5,2,5,+6,8/12/2020,,,,,,,,,,,,,,,"
101,"5,Matisse Thybulle,29:41,4,7,.571,2,4,.500,0,0,,0,3,3,1,2,0,1,2,10,-13,8/12/2020,,,,,,,,,,,,,,,"
102,"6,Furkan Korkmaz,29:17,5,10,.500,5,9,.556,6,6,1.000,1,4,5,4,2,0,2,1,21,-5,8/12/2020,,,,,,,,,,,,,,,"
103,"7,Raul Neto,26:57,6,15,.400,2,6,.333,3,3,1.000,0,1,1,5,1,1,1,1,17,-4,8/12/2020,,,,,,,,,,,,,,,"
104,"8,Mike Scott,21:33,4,5,.800,2,3,.667,2,3,.667,2,3,5,2,0,0,0,5,12,-11,8/12/2020,,,,,,,,,,,,,,,"
105,"9,Norvel Pelle,19:47,2,4,.500,0,0,,0,0,,1,2,3,0,1,3,1,6,4,-7,8/12/2020,,,,,,,,,,,,,,,"
106,"10,Marial Shayok,9:37,1,3,.333,0,0,,1,2,.500,0,2,2,0,0,1,1,3,3,-7,8/12/2020,,,,,,,,,,,,,,,"
107,"11,Kyle O'Quinn,240,39,84,.464,17,40,.425,26,33,.788,9,38,47,27,9,10,17,29,121,,8/12/2020,,,,,,,,,,,,,,,"
108,"12,Glenn Robinson,8/12/2020,Team Totals,8/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
109,"0,Tobias Harris,24:46,,,,,,,,,,,,,,,,,,,,,.666,.654,.308,.615,4.3,19.8,12.4,41.2,0.0,8.2,0.0,27.7,147,119,12.4"
110,"1,Josh Richardson,24:11,,,,,,,,,,,,,,,,,,,,,.536,.438,.375,.375,4.4,16.2,10.6,0.0,3.8,4.2,30.0,22.9,77,114,-8.6"
111,"2,Shake Milton,22:11,,,,,,,,,,,,,,,,,,,,,.405,.333,.667,.222,4.8,13.2,9.2,31.2,0.0,0.0,9.2,20.4,104,125,-7.0"
112,"3,Al Horford,18:25,,,,,,,,,,,,,,,,,,,,,.654,.667,.833,.333,5.8,16.0,11.1,41.8,0.0,5.5,12.7,17.8,137,122,7.6"
113,"4,Joel Embiid,13:35,,,,,,,,,,,,,,,,,,,,,.434,.250,.000,1.000,7.9,57.7,33.8,0.0,3.4,7.5,46.5,32.9,53,101,-19.8"
114,"5,Matisse Thybulle,29:41,,,,,,,,,,,,,,,,,,,,,.714,.714,.571,.000,0.0,9.9,5.2,5.0,3.1,0.0,12.5,11.2,117,120,-0.7"
115,"6,Furkan Korkmaz,29:17,,,,,,,,,,,,,,,,,,,,,.831,.750,.900,.600,3.6,13.4,8.7,21.3,3.1,0.0,13.7,20.8,148,119,11.1"
116,"7,Raul Neto,26:57,,,,,,,,,,,,,,,,,,,,,.521,.467,.400,.200,0.0,3.6,1.9,31.5,1.7,3.8,5.8,26.7,113,123,-0.2"
117,"8,Mike Scott,21:33,,,,,,,,,,,,,,,,,,,,,.949,1.000,.600,.600,9.9,13.6,11.8,14.8,0.0,0.0,0.0,12.2,194,125,5.3"
118,"9,Norvel Pelle,19:47,,,,,,,,,,,,,,,,,,,,,.500,.500,.000,.000,5.4,9.9,7.7,0.0,2.3,15.5,20.0,10.5,86,111,-7.0"
119,"10,Marial Shayok,9:37,,,,,,,,,,,,,,,,,,,,,.387,.333,.000,.667,0.0,20.4,10.6,0.0,0.0,10.6,20.5,21.1,62,116,-16.3"
120,"11,Kyle O'Quinn,240,,,,,,,,,,,,,,,,,,,,,.614,.565,.476,.393,20.0,77.6,50.0,69.2,8.5,21.3,14.7,100.0,114.9,118.7,"
121,"12,Glenn Robinson,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
122,"0,Ben Simmons,34:26,4,8,.500,0,1,.000,2,2,1.000,2,8,10,12,3,0,5,4,10,+10,1/14/2021,,,,,,,,,,,,,,,"
123,"1,Tobias Harris,29:48,7,13,.538,2,4,.500,2,2,1.000,0,4,4,2,1,0,0,2,18,+4,1/14/2021,,,,,,,,,,,,,,,"
124,"2,Tyrese Maxey,25:40,6,10,.600,1,3,.333,2,2,1.000,1,0,1,1,1,0,2,2,15,-2,1/14/2021,,,,,,,,,,,,,,,"
125,"3,Danny Green,25:28,4,8,.500,4,7,.571,0,0,,1,5,6,3,1,0,1,1,12,+10,1/14/2021,,,,,,,,,,,,,,,"
126,"4,Joel Embiid,23:36,3,8,.375,1,2,.500,2,4,.500,0,5,5,1,1,0,3,1,9,+4,1/14/2021,,,,,,,,,,,,,,,"
127,"5,Shake Milton,27:21,11,15,.733,3,4,.750,6,6,1.000,0,2,2,7,2,1,1,2,31,+24,1/14/2021,,,,,,,,,,,,,,,"
128,"6,Dwight Howard,22:02,2,2,1.000,0,0,,4,4,1.000,1,3,4,0,1,0,2,4,8,+16,1/14/2021,,,,,,,,,,,,,,,"
129,"7,Isaiah Joe,19:22,4,8,.500,4,8,.500,0,0,,0,0,0,0,0,1,0,1,12,+16,1/14/2021,,,,,,,,,,,,,,,"
130,"8,Matisse Thybulle,17:15,2,7,.286,2,6,.333,2,4,.500,0,1,1,0,4,1,2,3,8,+10,1/14/2021,,,,,,,,,,,,,,,"
131,"9,Mike Scott,5:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+9,1/14/2021,,,,,,,,,,,,,,,"
132,"10,Dakota Mathias,2:34,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-5,1/14/2021,,,,,,,,,,,,,,,"
133,"11,Terrance Ferguson,2:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5,1/14/2021,,,,,,,,,,,,,,,"
134,"12,Paul Reed,2:22,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-3,1/14/2021,,,,,,,,,,,,,,,"
135,"13,Tony Bradley,2:22,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-3,1/14/2021,,,,,,,,,,,,,,,"
136,"14,Team Totals,240,44,82,.537,17,37,.459,20,24,.833,5,30,35,27,15,3,18,22,125,,1/14/2021,,,,,,,,,,,,,,,"
137,"0,Ben Simmons,34:26,,,,,,,,,,,,,,,,,,,,,.563,.500,.125,.250,7.5,28.6,18.3,43.5,4.1,0.0,36.0,17.5,116,101,2.9"
